State_Name,State Population 2017,Total Energy Consumed 2017 (10^6 btu/capita),Energy_Consumed_GWh
Alabama,4874486,390,557142.6231901251
Alaska,739700,822,178196.9992550592
Arizona,7044008,209,431458.5472782973
Arkansas,3001345,352,309621.80169817945
California,39358497,200,2306967.367447002
Colorado,5611885,261,429261.77826732665
Connecticut,3573297,203,212587.68511394665
Delaware,956823,282,79077.63364963015
District of Columbia,694906,241,49081.29967104606
Florida,20963613,201,1234909.5279289167
Georgia,10410330,269,820710.0030879448
Hawaii,1424393,199,83072.22779804924
Idaho,1717715,322,162098.84861798724
Illinois,12778828,303,1134766.753750285
Indiana,6658078,406,792223.7582423715
Iowa,3141550,496,456665.9206103261
Kansas,2908718,369,314558.1448552274
Kentucky,4452268,372,485397.1124979458
Louisiana,4670560,960,1314053.7769258742
Maine,1334612,294,114994.03313949391
Maryland,6023868,218,384861.87424715376
Massachusetts,6859789,208,418164.3863431771
Michigan,9973114,278,812547.0717101338
Minnesota,5566230,329,536698.023432245
Mississippi,2988510,394,345083.2546567875
Missouri,6106670,283,506481.79236826877
Montana,1052482,399,123072.35841619114
Nebraska,1915947,457,256609.44744515998
Nevada,2969905,238,207153.5903443429
New Hampshire,1348787,235,92893.25564688531
New Jersey,8885525,240,624981.6770483239
New Mexico,2091784,327,200464.52979054526
New York,19589572,188,1079333.7241886621
North Carolina,10268233,244,734274.576385825
North Dakota,754942,836,184966.3876584878
Ohio,11659650,312,1066137.10433941
Oklahoma,3931316,418,481600.7847384406
Oregon,4143625,249,302379.7767006268
Pennsylvania,12787641,298,1116810.9146928233
South Carolina,5021268,327,481209.4023916005
South Dakota,872868,441,112813.25027618938
Tennessee,6708799,323,635068.0335667833
Texas,28295273,472,3914072.243537399
Utah,3101042,267,242656.46127887585
Vermont,624344,216,39523.06747857362
Virginia,8463587,272,674677.6399501787
Washington,7423362,282,613511.4861208246
West Virginia,1817004,416,221524.7036441203
Wisconsin,5790186,312,529444.0343943936
Wyoming,578931,885,150156.11605139068
