State_Name,State_Abbr
Louisiana,LA
Wyoming,WY
North Dakota,ND
Arkansas,AK
Iowa,IA
Texas,TX
Nebraska,NE
South Dakota,SD
Oklahoma,OK
West Virginia,WV
Indiana,IN
Montana,MT
Mississippi,MS
Alabama,AL
Kentucky,KY
Kansas,KS
Arkansas,AR
Minnesota,MN
South Carolina,SC
New Mexico,NM
Tennessee,TN
Idaho,ID
Ohio,OH
Wisconsin,WI
Illinois,IL
Pennsylvania,PA
Maine,ME
Montana,MO
Washington,WA
Delaware,DE
Michigan,MI
Virginia,VA
Georgia,GA
Utah,UT
Colorado,CO
Oregon,OR
North Carolina,NC
District of Columbia,DC
New Jersey,NJ
Nevada,NV
New Hampshire,NH
Maryland,MD
Vermont,VT
Arizona,AZ
Massachusetts,MA
Connecticut,CT
Florida,FL
California,CA
Hawaii,HI
New York,NY
Rohde Island,RI
